phase,model_name,avg_epoch_time_s,best_val_loss,best_val_top1,best_val_top5,compression_ratio,epochs,final_train_loss,final_val_top1,final_val_top5,flops,fp32_latency_ms_per_image,fp32_loss,fp32_size_mb,fp32_throughput_img_per_s,fp32_top1,fp32_top1_top5_gap,fp32_top5,int8_latency_ms_per_image,int8_loss,int8_size_mb,int8_throughput_img_per_s,int8_top1,int8_top1_top5_gap,int8_top5,macs,mode,param_efficiency_top1_per_m,params_m,peak_gpu_mem_mb,quantization_drop_top1,total_training_time_s
Phase 1 — Baselines,alexnet_tv,48.01129863963408,3.3857726776123047,32.94,58.19,11.959567876498717,79,3.3926777213939054,32.84,58.31,189736832,0.13480625230004079,2.993847608566284,661.7541408538818,7418.053561598028,32.88792073726654,25.331810116767883,58.219730854034424,0.6617911908999304,3.041804075241089,55.33261299133301,1511.050636138205,31.90320134162903,25.3342866897583,57.23748803138733,94868416,fp32+qat+int8,0.5696671442139873,57.82324,1409.85888671875,0.9847193956375122,4176.509352207184
Phase 1 — Baselines,mobilenetv2,32.87225328069745,2.3661529296875,58.07,81.5,,27,2.13362482160457,57.8,81.28,51599872,0.13218055479992472,1.7545263767242432,28.751924514770508,7565.4093108751995,57.99558162689209,23.519402742385864,81.51498436927795,,,,,,,,25799936,fp32+qat+int8,23.414642800692885,2.480072,536.681640625,,1087.8419904708862
Phase 1 — Baselines,resnet18_tv,28.283485071999685,2.561282373046875,53.98,77.8,,15,2.1474861896902873,52.26,76.84,297111552,0.12763997450001624,1.9659439325332642,129.20868110656738,7834.536193830661,53.91363501548767,23.883849382400513,77.79748439788818,,,,,,,,148555776,fp32+qat+int8,4.7858377503477225,11.279112,541.72900390625,,598.3862891197205
Phase 1 — Baselines,vgg_style,29.492008917471942,2.725707002258301,51.85,75.83,11.606334118999067,62,2.1750824637128146,51.68,75.68,462172160,0.13071144740006277,2.0700058937072754,27.58481216430664,7650.439344760251,51.81480646133423,24.06688928604126,75.88169574737549,1.3151550196000243,2.093930959701538,2.3767032623291016,760.3666374661507,51.188743114471436,24.331331253051758,75.5200743675232,231086080,fp32+qat+int8,21.556670136798587,2.405288,504.4853515625,0.626063346862793,2009.6125140190125
Phase 2 — AlexNet Variants,alexnet_2x2_fc,30.378501835991354,3.5458723922729494,30.68,56.12,11.934042774803597,28,3.1770415007644153,30.58,55.64,141721600,0.09844031050015474,3.11851167678833,404.9503231048584,10158.440123961496,30.532345175743103,25.49631893634796,56.028664112091064,0.47615956209992877,3.077484607696533,33.9323673248291,2100.136339990451,31.539398431777954,25.611352920532227,57.15075135231018,70860800,fp32+qat+int8,0.867074044505882,35.383368,1529.84716796875,-1.007053256034851,1061.5551810264587
Phase 2 — AlexNet Variants,alexnet_2x2_gap,21.09303594112396,3.423458892059326,33.24,58.95,11.597513835456176,44,3.51422968934983,32.98,58.82,73084928,0.09983890329967834,2.9859299659729004,12.063150405883789,10016.135664054533,33.15201997756958,25.79472064971924,58.94674062728882,0.35593027849972714,3.103276491165161,1.0401496887207031,2809.5390035797886,30.817538499832153,25.268280506134033,56.08581900596619,36542464,fp32+qat+int8,31.574627829747786,1.052744,918.96484375,2.3344814777374268,363.57043075561523
Phase 2 — AlexNet Variants,alexnet_2x2,20.96354306827892,3.5567925559997557,30.09,55.51,11.59893370795996,27,3.6671850621954647,29.42,55.13,73084928,0.09340629540020018,3.16207218170166,12.062768936157227,10705.916509326167,30.023813247680664,25.530046224594116,55.55385947227478,0.3325432800997078,3.104257822036743,1.0399894714355469,3007.127372112785,30.88858127593994,25.594431161880493,56.483012437820435,36542464,fp32+qat+int8,28.582447394618256,1.052744,773.8046875,-0.8647680282592773,693.1987240314484
Phase 2 — AlexNet Variants,alexnet_3x3_fc,47.241714116854546,inf,35.85,61.33,11.959383929654242,37,2.8125517275051917,34.96,60.66,444563456,0.10269576369973947,2.884495735168457,659.2580509185791,9737.50000948225,35.78716218471527,25.495043396949768,61.28220558166504,0.9193777138993027,2.858550548553467,55.1247501373291,1087.692234521064,36.18548810482025,25.97898542881012,62.16447353363037,222281728,fp32+qat+int8,0.6223404277480297,57.605128,1953.94482421875,-0.39832592010498047,48.39414858818054
Phase 2 — AlexNet Variants,alexnet_3x3_gap,22.690977446886958,3.144934210586548,40.41,66.33,11.812474262211886,43,3.0509812864097388,40.31,65.83,333975552,0.1008271518003312,2.6120641231536865,26.37101173400879,9917.963387285876,40.316811203956604,26.00361406803131,66.32042527198792,0.7576899915002286,2.774449110031128,2.232471466064453,1319.800988818655,37.023475766181946,25.8652001619339,62.888675928115845,166987776,fp32+qat+int8,17.546800151455678,2.302984,938.462890625,3.293335437774658,213.60753870010376
Phase 2 — AlexNet Variants,alexnet_3x3,47.231611251831055,3.3482005210876467,35.85,61.33,11.959417447684807,32,2.8430790211025037,35.23,61.32,444563456,0.09834567809994041,2.884495735168457,659.2580509185791,10168.215007717821,35.78716218471527,25.495043396949768,61.28220558166504,0.9284562449996883,2.861196279525757,55.124595642089844,1077.056679176449,36.19011640548706,25.792628526687622,61.98274493217468,222281728,fp32+qat+int8,0.6223404277480297,57.605128,1809.38427734375,-0.40295422077178955,1838.8481831550598
