kernel_size,in_ch,out_ch,groups_mode,fp32_cpu,int8,overhead_ratio
2.0,16.0,16.0,dense,0.7736444473266602,0.9859788417816162,1.2744599217233197
2.0,16.0,16.0,depthwise,0.5084359645843506,0.960468053817749,1.8890639544016863
2.0,32.0,32.0,dense,1.1692523956298828,1.554882526397705,1.3298091431833938
2.0,32.0,32.0,depthwise,0.4969823360443115,0.6007349491119385,1.208765192528646
2.0,64.0,64.0,dense,1.3034582138061523,3.4487462043762207,2.645843317298019
2.0,64.0,64.0,depthwise,0.8242785930633545,1.3937687873840332,1.6908952860272903
2.0,128.0,128.0,dense,4.9449074268341064,6.284972429275513,1.2709990070126267
2.0,128.0,128.0,depthwise,1.3860881328582764,1.775193214416504,1.2807217465716607
3.0,16.0,16.0,dense,0.8455824851989746,0.8858871459960938,1.0476649664611195
3.0,16.0,16.0,depthwise,0.36579012870788574,0.5947542190551758,1.6259438743086945
3.0,32.0,32.0,dense,0.780254602432251,2.041199207305908,2.6160681410182955
3.0,32.0,32.0,depthwise,0.34750938415527344,0.601264238357544,1.7302100771151787
3.0,64.0,64.0,dense,2.9108428955078125,3.556797504425049,1.2219132505962833
3.0,64.0,64.0,depthwise,0.38884997367858887,0.9943938255310059,2.557268594167221
3.0,128.0,128.0,dense,9.259999990463257,21.604868173599243,2.333139114022656
3.0,128.0,128.0,depthwise,1.8229103088378906,1.8367016315460205,1.0075655519864397
5.0,16.0,16.0,dense,1.1005914211273193,1.4471375942230225,1.3148726824898753
5.0,16.0,16.0,depthwise,0.38445591926574707,0.7272577285766602,1.891654392955148
5.0,32.0,32.0,dense,1.720517873764038,3.6848032474517822,2.1416826315151307
5.0,32.0,32.0,depthwise,0.38509249687194824,0.7529211044311523,1.955169499657936
5.0,64.0,64.0,dense,5.995396375656128,10.588843822479248,1.7661624284716988
5.0,64.0,64.0,depthwise,0.5285215377807617,1.2790024280548096,2.419962738747192
5.0,128.0,128.0,dense,24.032102823257446,26.46819233894348,1.1013681380111469
5.0,128.0,128.0,depthwise,1.915123462677002,2.457919120788574,1.2834259350323245
7.0,16.0,16.0,dense,1.6087126731872559,2.0764172077178955,1.290732175065173
7.0,16.0,16.0,depthwise,0.47829151153564453,0.9186387062072754,1.9206669657544488
7.0,32.0,32.0,dense,3.099452257156372,4.388701915740967,1.415960483213712
7.0,32.0,32.0,depthwise,0.5240845680236816,0.9637022018432617,1.8388295718711474
7.0,64.0,64.0,dense,11.421407461166382,12.795473337173462,1.1203061777350125
7.0,64.0,64.0,depthwise,0.6931722164154053,1.7127454280853271,2.4708800894277485
7.0,128.0,128.0,dense,48.61385941505432,49.60665464401245,1.0204220615459032
7.0,128.0,128.0,depthwise,1.1341798305511475,3.259061574935913,2.8734963249630288
9.0,16.0,16.0,dense,3.7802040576934814,2.7984869480133057,0.7403004984129937
9.0,16.0,16.0,depthwise,1.6306519508361816,0.7583701610565186,0.4650717528456236
9.0,32.0,32.0,dense,9.831070899963379,5.6441569328308105,0.574114151984382
9.0,32.0,32.0,depthwise,3.073601722717285,1.246044635772705,0.4054021139313756
9.0,64.0,64.0,dense,31.701987981796265,20.977871417999268,0.661721007213966
9.0,64.0,64.0,depthwise,5.998769998550415,2.291351556777954,0.38197023011911646
9.0,128.0,128.0,dense,226.43698692321777,165.7081639766693,0.7318069641725937
9.0,128.0,128.0,depthwise,11.724917888641357,5.8522796630859375,0.499131824944838
11.0,16.0,16.0,dense,4.7119176387786865,3.284052610397339,0.6969673203474233
11.0,16.0,16.0,depthwise,2.3409605026245117,0.9514248371124268,0.4064249849776447
11.0,32.0,32.0,dense,31.682571172714233,7.593406438827515,0.23967140789908908
11.0,32.0,32.0,depthwise,4.404349327087402,2.6251566410064697,0.5960373362896914
11.0,64.0,64.0,dense,62.067962884902954,63.86128902435303,1.0288929434139085
11.0,64.0,64.0,depthwise,8.90323281288147,3.051103353500366,0.3426961214679163
11.0,128.0,128.0,dense,190.4843044281006,136.2442946434021,0.7152520783927807
11.0,128.0,128.0,depthwise,17.46761441230774,12.992923259735107,0.7438292919140836
